Location Name,Month,BestRegards_Revenue,BestRegards_MoM_PctChange,GeoPressure_Total,Total_Competitor_Revenue,Count_0_5mi,Count_1mi,Count_3mi,Count_5mi,GeoPressure_Lag1,GeoPressure_Lag2,GeoPressure_Lag3
BEST REGARDS,2023-11-01,474634.0,,991849055.9491036,120012434527.0,7134,28080,218010,642247,,,
BEST REGARDS,2023-12-01,546182.0,15.074352027035577,1237584319.2299905,158868632629.0,7140,28247,218133,643073,991849055.9491036,,
BEST REGARDS,2024-01-01,311004.0,-43.058540925918464,868424600.4189873,113900135020.0,7134,28241,218259,643269,1237584319.2299905,991849055.9491036,
BEST REGARDS,2024-02-01,327529.0,5.31343648313205,1014317157.7654688,124985905781.0,7134,28220,218973,644472,868424600.4189873,1237584319.2299905,991849055.9491036
BEST REGARDS,2024-03-01,324474.0,-0.932741833547568,1172367271.5267558,140256121590.0,7134,28320,219105,644592,1014317157.7654688,868424600.4189873,1237584319.2299905
BEST REGARDS,2024-04-01,283917.0,-12.499306570017932,1036792413.4217372,134524065889.0,7140,28305,219148,644280,1172367271.5267558,1014317157.7654688,868424600.4189873
BEST REGARDS,2024-05-01,300844.0,5.961953669558362,1014643904.5447967,142080630205.0,7170,28335,219248,644006,1036792413.4217372,1172367271.5267558,1014317157.7654688
BEST REGARDS,2024-06-01,271018.0,-9.91410830862507,994099101.0142076,127302408886.0,7170,28352,219256,642648,1014643904.5447967,1036792413.4217372,1172367271.5267558
BEST REGARDS,2024-07-01,212015.0,-21.770878687024474,818699304.2416693,111062081972.0,7170,28352,218176,640536,994099101.0142076,1014643904.5447967,1036792413.4217372
BEST REGARDS,2024-08-01,230361.0,8.653161332924553,998237596.9929911,133757529896.0,7170,27857,217474,638781,818699304.2416693,994099101.0142076,1014643904.5447967
BEST REGARDS,2024-09-01,361005.0,56.71272481018923,934611807.2335967,121910615579.0,7170,27857,215954,636181,998237596.9929911,818699304.2416693,994099101.0142076
BEST REGARDS,2024-10-01,301864.0,-16.38232157449343,926817426.3318014,126355229793.0,7170,27527,215140,634410,934611807.2335967,998237596.9929911,818699304.2416693
BEST REGARDS,2024-11-01,332225.0,10.057840616966573,978611502.6931813,128154242621.0,7170,27527,214084,632773,926817426.3318014,934611807.2335967,998237596.9929911
BEST REGARDS,2024-12-01,329234.0,-0.9002934758070569,1079616258.086405,146192115838.0,7170,27527,213460,630049,978611502.6931813,926817426.3318014,934611807.2335967
BEST REGARDS,2025-01-01,198574.0,-39.68605915549427,737605882.3133,103403205150.0,7170,27527,212886,625443,1079616258.086405,978611502.6931813,926817426.3318014
BEST REGARDS,2025-02-01,173154.0,-12.801273077039289,814741692.4315829,117088245309.0,7170,27062,211056,620508,737605882.3133,1079616258.086405,978611502.6931813
BEST REGARDS,2025-03-01,187105.0,8.056989731683938,960988043.7327466,130292216383.0,7170,27062,210576,619548,814741692.4315829,737605882.3133,1079616258.086405
BEST REGARDS,2025-04-01,177311.0,-5.2344940006948,851772253.8723425,134939671077.0,6660,26552,209046,612947,960988043.7327466,814741692.4315829,737605882.3133
BEST REGARDS,2025-05-01,211555.0,19.312958586889707,962225308.6775025,132093537156.0,6666,26558,206406,608069,851772253.8723425,960988043.7327466,814741692.4315829
BEST REGARDS,2025-06-01,157516.0,-25.54371203705892,815973159.7632842,123007705481.0,6660,26552,205714,606653,962225308.6775025,851772253.8723425,960988043.7327466
BEST REGARDS,2025-07-01,129351.0,-17.880723228116512,744333567.7598011,109874384405.0,6660,26552,205114,605709,815973159.7632842,962225308.6775025,851772253.8723425
BEST REGARDS,2025-08-01,175033.0,35.31630988550533,896145017.7559482,119010272217.0,6660,26048,203644,601488,744333567.7598011,815973159.7632842,962225308.6775025
BEST REGARDS,2025-09-01,153967.0,-12.03544474470528,744794581.6400373,119764219669.0,6660,25388,202478,597462,896145017.7559482,744333567.7598011,815973159.7632842
BEST REGARDS,2025-10-01,136133.0,-11.58300155228068,822848468.9461956,118073218600.0,6660,25388,200719,594760,744794581.6400373,896145017.7559482,744333567.7598011
