Hour_of_Day,Total_Items,Void_Count,Void_Rate
4,5,5,1.0
3,54,5,0.09259259259259259
2,772,29,0.03756476683937824
18,14866,553,0.03719897753262478
17,13905,487,0.035023372887450555
15,7838,242,0.030875223271242664
21,31833,915,0.028743756479125436
14,5572,146,0.0262024407753051
12,3527,90,0.025517436915225403
19,17331,413,0.023830130979170274
20,22799,503,0.022062371156629675
13,3801,80,0.02104709287029729
11,49,1,0.02040816326530612
1,27838,533,0.019146490408793734
22,46165,873,0.01891042997942164
16,10998,189,0.01718494271685761
23,52758,862,0.016338754312142233
0,44815,663,0.01479415374316635
10,1,0,0.0
