Month,CX_Index,Avg_Stars,Review_Volume,Positive_Count,Positive_Pct,BestRegards_Revenue,CX_Index_Lag1,CX_Index_Lag2
2023-11,0.4814166666666666,4.0,6,4,0.6666666666666666,474634.0,,
2023-12,0.21576666666666666,2.7777777777777777,9,5,0.5555555555555556,546182.0,0.4814166666666666,
2024-01,0.71305,3.25,12,11,0.9166666666666666,311004.0,0.21576666666666666,0.4814166666666666
2024-02,0.67306,3.0,5,5,1.0,327529.0,0.71305,0.21576666666666666
2024-03,0.5196428571428572,3.5714285714285716,7,6,0.8571428571428571,324474.0,0.67306,0.71305
2024-04,0.48975,3.8,10,7,0.7,283917.0,0.5196428571428572,0.67306
2024-05,0.36532857142857145,3.5714285714285716,7,4,0.5714285714285714,300844.0,0.48975,0.5196428571428572
2024-06,0.6191571428571429,3.4285714285714284,7,6,0.8571428571428571,271018.0,0.36532857142857145,0.48975
2024-07,0.7992374999999999,4.5,8,8,1.0,212015.0,0.6191571428571429,0.36532857142857145
2024-08,0.7140727272727273,3.5454545454545454,11,9,0.8181818181818182,230361.0,0.7992374999999999,0.6191571428571429
2024-09,0.7514000000000001,4.25,4,4,1.0,361005.0,0.7140727272727273,0.7992374999999999
2024-10,0.5542166666666667,2.8333333333333335,6,4,0.6666666666666666,301864.0,0.7514000000000001,0.7140727272727273
2024-11,-0.6093,4.0,1,0,0.0,332225.0,0.5542166666666667,0.7514000000000001
2024-12,-0.296,5.0,1,0,0.0,329234.0,-0.6093,0.5542166666666667
2025-01,0.9006500000000001,4.166666666666667,6,6,1.0,198574.0,-0.296,-0.6093
2025-02,0.75332,4.0,5,5,1.0,173154.0,0.9006500000000001,-0.296
2025-03,0.07796666666666668,2.3333333333333335,9,5,0.5555555555555556,187105.0,0.75332,0.9006500000000001
2025-04,0.2875571428571429,2.4285714285714284,7,5,0.7142857142857143,177311.0,0.07796666666666668,0.75332
2025-05,0.32974285714285717,3.142857142857143,7,4,0.5714285714285714,211555.0,0.2875571428571429,0.07796666666666668
2025-06,0.40967000000000003,2.9,10,6,0.6,157516.0,0.32974285714285717,0.2875571428571429
2025-07,0.7019947368421052,3.9473684210526314,19,17,0.8947368421052632,129351.0,0.40967000000000003,0.32974285714285717
2025-08,0.7021545454545455,3.909090909090909,11,10,0.9090909090909091,175033.0,0.7019947368421052,0.40967000000000003
2025-09,0.7072823529411765,4.705882352941177,17,15,0.8823529411764706,153967.0,0.7021545454545455,0.7019947368421052
2025-10,0.9179782608695654,4.782608695652174,23,23,1.0,136133.0,0.7072823529411765,0.7021545454545455
